,text
501,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
502,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
503,@sa_vadorr ا
504,@sa_vadorr في البداية هجوم مبطن على النقاب ومن يلبسه، ثم تختمين بالجملة السحرية اللي تدغدغ مشاعر المساكين (الحرية).
505,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
506,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
507,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
508,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
509,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
510,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
511,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
512,@sa_vadorr You’re so beautiful ❤️❤️
513,"RT @sa_vadorr: هناك فتيات يتعرضن للضرب والاضطهاد في منازلهن، ولا يستطيعون رفع الهاتف والاتصال على الشرطة لمعرفتهن ويقينهن ان ""الشرطة"" دائما…"
514,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
515,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
516,@sa_vadorr Proud of you! ❤️
517,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
518,"@sa_vadorr يؤدبُ اللهُ عبده المؤمن الذي يحبه
بأدنى زلة أو هفوة
فلا يزال مستيقظا حذراً

وأما من سقطَ من عينه وهانَ عليه
فإنه يُخلي بينه وبين معاصيه
وكلما أحدث ذنباً أحدث له نعمة
والمغرور يظن أن ذلك من كرامته عليه
ولا يعلم أن ذلك عين الإهانة
وأنه يريد به العذاب الشديد والعقوبة
.
ابن القيم"
519,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
520,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
521,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
522,@sa_vadorr @iHallucinate_e انتي معانا ولا معاهم حدد موقفك اخي الكريم🙄
523,@sa_vadorr wow.... cute. ...basket of cuteness u r 😊
524,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
525,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
526,@sa_vadorr حسبي الله على من لعب في مخك .. حقك انك تعيشين بين اسرة تحتويك وتحبك وتبحث عن الصالح لك .. واللي العبو في مخك اسلبوك اقل حق يا عائشة .. ارجعي لربك وارجعي لاهلك صدقيني انتي الحين مستمتعه بالشو الي صاير لكن بعد كم شهر بتكونين نسيا منسيا وماراح تطرين الا على اهلك و وحوش الشوارع
527,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
528,"RT @sa_vadorr: هناك فتيات يتعرضن للضرب والاضطهاد في منازلهن، ولا يستطيعون رفع الهاتف والاتصال على الشرطة لمعرفتهن ويقينهن ان ""الشرطة"" دائما…"
529,@sa_vadorr انتي مشكلتك مع بيتك انهم متشددين وكنتي تقدرين تقنعينهم او كان بياخذك زوج اقل تشددا ولنقل انها ضريبة هذا الخوف ..غيرك بنات فاصخين الحجاب ولكن تعاني من تشتت اسري واخرى تعاني من تعنيف واخرى يتيمة الام وفي مشاكل اعظم واكبر مابيها اذكرها المفروض حمدتي ربك على هذي النعمة واحتسبتي الاجر
530,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
531,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
532,@sa_vadorr على زق
533,@sa_vadorr اي وشي ثاني الشي الي مسوية له كت ريتويت ترا عن الهوموسكشوال..تعبي روحج واقري..ولا هذي بعد مشكلة من ضمن المشاكل
534,@sa_vadorr حبيبتي حددي وضعج انتي هاجة من ايش بالضبط شنو قضيتج ! مع الدين ولا البلد ولا اهلج ولا مشكلة نفسية لان وضعج يفشل صراحة..
535,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
536,@sa_vadorr ‘s tweets remind me how the happy life I have today is due to the fact I took my life into my own hands (with the aid of God). If I hadn’t made the decision to leave home I’d have been stuck living a closed life with a father who wanted me to be neither seen nor heard
537,@sa_vadorr ليتج خاشه ويهج مافرق بالنقاب ولا بدون اسود
538,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
539,@sa_vadorr من تقصدين
540,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
541,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
542,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
543,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
544,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
545,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
546,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
547,@sa_vadorr عائلتج متشددة فعلا ولكن خوفا عليك وكلنا نعرف انك تندرجين من عائلة مثقفه جدا والدليل خلفيتك واسلوبك وشهادتك .. ولكن انتي انسانة ناكرة للجميل على الاقل ارجعي لنواياهم بتشوفين انهم يخافون عليك ويشرقون بطاريك يا عاشة وانتي راجعي نفسك وقلبك لان مب معقولة كمية الحقد اللي تشلينها عليهم
548,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
549,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
550,@sa_vadorr محد مرغم اختيار فقط
551,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
552,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
553,@sa_vadorr من سواد الوجه الي سويتوه الحمد الله احنا حقوقنا موجوده ومحفووظه مب مشكله الدوله اذا هلج اجبرج على تقطيت ويهج وغييره.....
554,@sa_vadorr التشهير والتلعلع في تويتر وتطبيل من مراهقات ماتعدو حتى ٢٢ سنه نفسج هذا شي بتدفعين فاتورته مستقبلاً انتي لجاتي حق غرب مايراعون المرا في ولاشي وعندنا حتى الطلاق لايرمى على الامراءه اذا كانت حائض نفسياً يراعونج في قطر اي كذبه تكذبينها لاتفكرين الناس مصيده نفسج وحجة الغطوه جداً ضعيفه
555,@sa_vadorr يا جمالج فدوه عقبال كل بنت مجبورة ❤️
556,@sa_vadorr اسفه على كل بنت اختارت الطريق الخطأ وظنت انهاا على صواب مثلك والله انك محزنه ٣ ارباع الشعب القطري انتي منا وفينا مهما كان نبي لج حياه كريمه لاترفسين النعمه بحجة حقوق وكلام فاضي انتي ادرى انه كلام فاضي لو لج حق ربي بياخذه عاجل غير اجل لكن التشهير والملاسن في تويتر محد بيصدقج
557,RT @sa_vadorr: كل صباح اغسل وجهي، واسرح شعري بأصابع يدي، وارتدي طبقات عديدة من الثياب، واخرج بكل بساطة، مثل هذا الأمر كان يعد مستحيلا سابقا…
558,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
559,"RT @sa_vadorr: هناك فتيات يتعرضن للضرب والاضطهاد في منازلهن، ولا يستطيعون رفع الهاتف والاتصال على الشرطة لمعرفتهن ويقينهن ان ""الشرطة"" دائما…"
560,"RT @sa_vadorr: ""فضحتي اهلج""، وجهي مش فضيحة، قراراتي مش فضيحة، كيف اعيش حياتي مش فضيحة. الفضيحة لما تتعنف البنت ومحد يساعدها وياخذ حقها، الف…"
561,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
562,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
563,@sa_vadorr عزي نفسج والله قاعده ترزلين في نفسج قدام الناس مايسوى عليج هالجحود كله على ناس كانو اقصى طموحاتهم يسترون بنتهم ويحافظون عليها عيب والله اللي تسوينه مايليق فيج انتي حتى لو مب مقتنعه بالغطوه ليش التشهير؟ هذي مب اخلاق والله انج تظلمين نفسج والتطبيل اللي يصير عشان تعرضين صورج اكثر بس
564,"RT @sa_vadorr: هناك فتيات يتعرضن للضرب والاضطهاد في منازلهن، ولا يستطيعون رفع الهاتف والاتصال على الشرطة لمعرفتهن ويقينهن ان ""الشرطة"" دائما…"
565,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
566,@sa_vadorr انتي صدقيني مشكلتش ليست مع قطر بل مع نفسش ومع الله  (نسو الله فأنساهم أنفسهم ) اصبحتي من الضائعات بلا هويه ولا أصل ولا دين ولاوطن دينش الاسلامي فرض الحجاب اذا ماكنتي عارفه ياجاهله الدين ...
567,@sa_vadorr والله يمديج انا ادري انج تسرعتي او كنتي مخططه من وقت طويل بس ماحسبتي حساب هذا كله واللي بيصير لج اعظم صدقيني هذول مافيهم رحمه على المسلمين بالذات متطرفين حتى لو خلعتي الحجاب والله الضرايب وحياتهم القاسيه بتسحبج تسحب ، رجاجيل ماقدرو على الغربه انتي المرفهه القطريه بتستحملين؟
568,@sa_vadorr لاتزيدين الطين بله كل شي ويتصلح والله ان مافي شي على ربج صعب استغيثي بالله لاتلجأين للحثاله اللي يطبلون لج وانتي والله لو احتجتيهم ماحصلتيهم عندج في الشدايد محد نفس الاهل والعزوه وانتي ٢٢ سنه للحين مراهقه بيسامحونج كل شي له خط رجعه اذا الله يغفر ويسامح عبده انتي مايسامحونج؟؟؟
569,@sa_vadorr لا ربج عادل كل حد احسن اليج ورديت الاحسان بالنكران بترجع عليج عكسيه وانا والله انصحج من محبه اذا تقدرين الحين تتصرفين ترجعين بالسلامه احسن لج ارجعي وصلحي اخطائج اللي بينج وبين نفسج تدرين انج كذبتي على الناس واستعطفتيهم بحجة العنف والعنف والله الغربه وترك احن الناس عليج
570,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
571,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
572,@sa_vadorr بتروح عليج  بنشوف كيف تصير حياتج بعد التحرر غيري دينك ترى المسيحيه زينه بنسبه لج
573,@sa_vadorr نصيحة اغلقي حسابك وعيشي حياتك https://t.co/FODaq5Zz19
574,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
575,@sa_vadorr اعرف قطريات قلوبهن معك لكن خايفين يعلقون عندك بحساباتهم ويتضررون او يتعرضون للهجوم
576,@sa_vadorr 👌
577,RT @sa_vadorr: فبدلا من الاستمرار بوضع قوانين تحد من حرية الرأي، يجب إعادة النظر لوضع النساء في قطر، والتفاوض مع من يرون ان هناك فائدة من ا…
578,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
579,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
580,@sa_vadorr شو بعد غير النقاب وضعك في موقف طلب اللجؤ السياسي؟
581,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
582,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
583,@sa_vadorr القانون هذا انشرته جريده الراية واعتذرت لان مافي شي رسمي شبعي لطم الحين
584,RT @sa_vadorr: فبدلا من الاستمرار بوضع قوانين تحد من حرية الرأي، يجب إعادة النظر لوضع النساء في قطر، والتفاوض مع من يرون ان هناك فائدة من ا…
585,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
586,"RT @sa_vadorr: ""فضحتي اهلج""، وجهي مش فضيحة، قراراتي مش فضيحة، كيف اعيش حياتي مش فضيحة. الفضيحة لما تتعنف البنت ومحد يساعدها وياخذ حقها، الف…"
587,@sa_vadorr @Outsider_S1 Really proud you're one of the bravest that exists in our region it's not easy to leave your homeland to live like a proper human and speak up to the repression wish you all the luck in the world
588,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
589,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
590,@sa_vadorr الله يهديكي
591,@sa_vadorr شي واحد بقوله لك واتمنى لو ٣ايام تطبقينها والله وبالله لأن تخسري شي امسكي سورة البقرة فقط ٣ايام وبس ولك القرار يالله يالله يالله يالله يالله ادعوك ع لسان امها ادعوك وامها يتفطر قلبها أن تردها لها رد جميل وتردها الى صوابها يارب استودعتك أمها بحولك وقوتك يالله ياحي ياقيوم 🤲🤲😭
592,@sa_vadorr لا تسقطي فشلك في حياتك على بنات قطر فأنتي تمثلي نفسك ومستواك الفكري السطحي الذي ينم عن إنسانة ساخطة على أسرتها ومجتمعها استمتعي بالحرية الزائفة التي تنشديها أنت ومن على شاكلتك أما نحن  بنات قطر نترفع عن أمثالك الذين يذهبون من أجل ترك الحجاب غيره
593,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
594,@sa_vadorr عايشه كل مانزلتي تغريده ادعو الله لعلك رجعتي لصوابك وكل ما شفتك لازلتي في عتمتك اتعب كثير وكثير رغم لم اعرفك يالله ي عايشه كيف بحالك بعد ايام معدودة كل شخص يعرف مسلك الجنه والنار مستعدين ليالي رمضان المبارك واصوات القران كم احزنتيني مصيرك وكم تقطع قلبي ع امك يارب اربط ع قلبها😭😭
595,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
596,"RT @sa_vadorr: هناك فتيات يتعرضن للضرب والاضطهاد في منازلهن، ولا يستطيعون رفع الهاتف والاتصال على الشرطة لمعرفتهن ويقينهن ان ""الشرطة"" دائما…"
597,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
598,@sa_vadorr من أنتي لتتكلمي عن المرأة القطرية فنحن ذوات شأن في بلادنا أما أنتي رضيتي لنفسك الذل والهوان ليس لك بنا أي شأن  يا مدعية الحقوق الواهية
599,@sa_vadorr لماذا تنظرين للقمع في الستر الذي فرضه الاسلام عليكِ كمسلمه.
600,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
601,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
602,@sa_vadorr عادي بالعكس النقاب حلو بس مب الكل مضطرين يلبسونه حسب يعني .. وايد قطريات مايلبسون شالمشكله الا انتي ودج بالهياته كان غطيتي شعرج اقلها يعني النقاب ماله خص .
603,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
604,"RT @sa_vadorr: هناك فتيات يتعرضن للضرب والاضطهاد في منازلهن، ولا يستطيعون رفع الهاتف والاتصال على الشرطة لمعرفتهن ويقينهن ان ""الشرطة"" دائما…"
605,"@sa_vadorr @Outsider_S1 Now this is what we call a change  
Congratulations 🍾🎊"
606,@sa_vadorr @lovhum عيونك جميلة فيها حوَر
607,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
608,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
609,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
610,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
611,RT @sa_vadorr: حسيت بالحر بس وانا اشوف الصورة، ايام سيئة، اسفة لكل بنت ما زالت مرغمة على تغطية وجهها.
612,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
613,"RT @sa_vadorr: هناك فتيات يتعرضن للضرب والاضطهاد في منازلهن، ولا يستطيعون رفع الهاتف والاتصال على الشرطة لمعرفتهن ويقينهن ان ""الشرطة"" دائما…"
614,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
615,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
616,"RT @sa_vadorr: هناك فتيات يتعرضن للضرب والاضطهاد في منازلهن، ولا يستطيعون رفع الهاتف والاتصال على الشرطة لمعرفتهن ويقينهن ان ""الشرطة"" دائما…"
617,@sa_vadorr فيه خلط كبير بين النقاب والحجاب النقاب تغطية الوجه ماعدى العيون اما الحجاب فنزل بوصف وهو لا يصف ولا يشف اي لا يحدد شكل الجسم ولايبينه وغطاء الراس وبأي لون غير ملفت الحجاب ليس النقاب كل الدول الاسلاميه لايلبسون النقاب ماليزيا تركيا دول الشام وافريقيا المسلمين يتحجبون ولا يتنقبون
618,"@sa_vadorr شهالمعنفه المظلومه اللي لابسه براندات؟ حر جهنم ان شاء الله 
والبنات فالجامعه يقولون كانو يشوفونج كاشفه لا نقاب ولا شي ومتمكيجه 🙂"
619,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
620,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
621,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
622,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
623,@sa_vadorr بديتي تغسلين صحون ولا للحين ماوصلتي لها المرحله الممتعه التى يختلط فيها الصابون بسعابيل الاخرين
624,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
625,"@sa_vadorr ع اني محجبه ولست منقبه بس اتمنى اوصل للمرحله اللي افك حجابي والبس ع كيفي😔❤️
برضو دايم يواسيني ع الاقل قدرت اطلع محجبه ووجهي يحس بالهوا."
626,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
627,"RT @sa_vadorr: هناك فتيات يتعرضن للضرب والاضطهاد في منازلهن، ولا يستطيعون رفع الهاتف والاتصال على الشرطة لمعرفتهن ويقينهن ان ""الشرطة"" دائما…"
628,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
629,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
630,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
631,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
632,@sa_vadorr تكلمي عن نفسج لا تتكلمين بلسان الفتيات القطريات كل واحد عنده لسان ويعرف يتكلم عن نفسه والحمدلله عايشين بنعمه وامن وامان وهاي اهم شي وما تشردنا نفسج وبدون هاي الآكشن كله قولي انج تبين تطلعين بدون الحجاب وتبين الحريه وماتبين الستر وخلصنا بلا نباح وتفلسف وكلام فاضي وغبي
633,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
634,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
635,"@sa_vadorr نار جهنم اشد حر
بلاقيك يا ام صنقير"
636,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
637,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
638,"@sa_vadorr وحطي في بالج

الانسلاخ عن الدين يولد قبحًا في الوجه ولو ادهن صاحبه في اليوم سبعين مرة"
639,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
640,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
641,@sa_vadorr لا تصير اليهودية المتحجبة من راسها لرجولها احسن منج ..
642,@sa_vadorr بعيداً عن كتب التحريض .. راح تعرفين ان اساس الحياه الصبر .. وفي كل مكان بتروحين له بتحصلين ابتلاء في شي .. وضيق في شي .. هاي الدنيا .. والراحه محد بيلقاها الا اللي صبر ❤️
643,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
644,"@sa_vadorr كنت متميزة عن نساء الارض
فالمطيعات لله عز وجل هم النخبة
والا فاكثر النساء يتساوون في التبرج
ولا تُذكرين امام جمالهم
اما الحين ارخصتي نفسج 

شوفي التعليقات عليج 
كلها تعليقات شهوانية لانج مجرد تجردتي عن الستر
هذي هي الحرية؟

الحريّة في التمسك بالدين  والاخلاق"
645,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
646,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
647,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
648,@sa_vadorr يازين الستر والعفه
649,@sa_vadorr https://t.co/MQly0xLFs4
650,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
651,@sa_vadorr You were beautiful 🧴
652,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
653,@sa_vadorr لو سمحتي اتكلمي بالعربي مب لازم تنشرين معاناتج اذا كنتي اتعانين قسوه اهلج عشان الاجانب يقرون .. واشدعوه الحجاب اللي كان صادج عن كلشي .. ترا تكبرين في نظر الاجانب وانتي ثابته على دينج ...الله يهديج صار الاجنبي يدخل فالاسلام واشكالكم تطلع منه ( يا مقلب القلوب ثبت قلبي على دينك)
654,@sa_vadorr الغريبه ان الحين محد يفرض النقاب على البنات واغلب البنات في قطر غير منقبات ..
655,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
656,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
657,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
658,@sa_vadorr Take care of yourself https://t.co/ZRaBPvANTm
659,@sa_vadorr birds born in a cage believe flying is a disability. (not many will understand you)~from citizen of the world
660,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
661,@sa_vadorr هلا باالغاليه
662,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
663,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
664,@sa_vadorr 😂😂 https://t.co/MipszzRWSx
665,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
666,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
667,@sa_vadorr انتي في وين ؟ في بريطانيا اكثر دوله فيها ضرائب 🙇🏻‍♀️
668,@sa_vadorr للاسف 💔
669,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
670,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
671,RT @sa_vadorr: كل صباح اغسل وجهي، واسرح شعري بأصابع يدي، وارتدي طبقات عديدة من الثياب، واخرج بكل بساطة، مثل هذا الأمر كان يعد مستحيلا سابقا…
672,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
673,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
674,@sa_vadorr مالها خص الحرية بالدين ..  فكرتج غبيه لان لو فيج خير ماقطيتي الحجاب مو بس ماتنقبتي .. لكن لانكم ضعاف تبون تقولون اي شي
675,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
676,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
677,@sa_vadorr بتنشوين ب حر جهنم لاحقه ع الحراره
678,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
679,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
680,@sa_vadorr يقولو مانقدر نشوف وجه المرا اغرا هههههه  مهوسين بلجنس الله يهديهم
681,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
682,@sa_vadorr انه بعد حسسسيت بالحر من صورتج 😭💔
683,@sa_vadorr @FatenKhalil12 الله يعينج ع التعليقات ⁦التبن ذي
684,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
685,"@sa_vadorr عورتي قلبي والله ..
هـالجمال كله ومغطينج تقولين اكبر من عمرج والله🥺💔"
